persona_id,sex,race,religion,political_views,political_party
synth_0237,Male,Asian,Orthodox,Conservative,Democrat
synth_0238,Male,Other,Orthodox,Very liberal,Democrat
synth_0239,Male,Asian,Mormon,Very liberal,Republican
synth_0240,Female,Black,Mormon,Very liberal,Independent
synth_0241,Male,White,Other,Very conservative,Democrat
synth_0242,Male,Asian,Orthodox,Very liberal,Independent
synth_0243,Male,Black,Jewish,Very conservative,Democrat
synth_0244,Female,Other,Roman Catholic,Very conservative,Something else
synth_0245,Female,Asian,Atheist,Very liberal,Republican
synth_0246,Female,Other,Orthodox,Very liberal,Republican
synth_0247,Female,Hispanic,Other,Very conservative,Republican
synth_0248,Female,Hispanic,Buddhist,Very conservative,Something else
synth_0249,Female,White,Roman Catholic,Moderate,Democrat
synth_0250,Male,Black,Jewish,Very liberal,Independent
synth_0251,Female,Other,Atheist,Moderate,Something else
synth_0252,Female,White,Nothing in particular,Very conservative,Democrat
synth_0253,Female,Hispanic,Orthodox,Liberal,Independent
synth_0254,Female,Hispanic,Buddhist,Very conservative,Independent
synth_0255,Female,Asian,Other,Moderate,Independent
synth_0256,Male,Hispanic,Roman Catholic,Very conservative,Republican
synth_0257,Male,Hispanic,Roman Catholic,Moderate,Democrat
synth_0258,Male,Other,Atheist,Very liberal,Independent
synth_0259,Male,Hispanic,Muslim,Liberal,Republican
synth_0260,Female,Other,Jewish,Moderate,Republican
synth_0261,Male,Black,Other,Liberal,Democrat
synth_0262,Male,Asian,Atheist,Moderate,Republican
synth_0263,Female,Other,Orthodox,Liberal,Republican
synth_0264,Female,White,Mormon,Moderate,Independent
synth_0265,Female,Asian,Protestant,Conservative,Democrat
synth_0266,Female,White,Mormon,Very conservative,Republican
synth_0267,Male,Hispanic,Buddhist,Liberal,Independent
synth_0268,Male,Asian,Jewish,Moderate,Republican
synth_0269,Male,Black,Mormon,Very liberal,Republican
synth_0270,Male,Asian,Hindu,Liberal,Something else
synth_0271,Female,Hispanic,Jewish,Conservative,Republican
synth_0272,Female,Hispanic,Roman Catholic,Moderate,Something else
synth_0273,Female,White,Orthodox,Liberal,Republican
synth_0274,Male,Black,Jewish,Conservative,Democrat
synth_0275,Female,Asian,Muslim,Very conservative,Republican
synth_0276,Female,Hispanic,Mormon,Conservative,Something else
synth_0277,Male,Other,Atheist,Moderate,Republican
synth_0278,Female,White,Buddhist,Very conservative,Something else
synth_0279,Male,Asian,Agnostic,Liberal,Something else
synth_0280,Female,Asian,Roman Catholic,Liberal,Republican
synth_0281,Female,Black,Agnostic,Liberal,Independent
synth_0282,Male,Hispanic,Roman Catholic,Conservative,Something else
synth_0283,Female,Other,Roman Catholic,Liberal,Independent
synth_0284,Female,Black,Muslim,Conservative,Republican
synth_0285,Male,Other,Atheist,Conservative,Independent
synth_0286,Female,Black,Orthodox,Very conservative,Democrat
synth_0287,Female,Black,Mormon,Very liberal,Democrat
synth_0288,Male,Black,Other,Liberal,Something else
synth_0289,Female,Other,Other,Very liberal,Independent
synth_0290,Female,Black,Hindu,Very conservative,Something else
synth_0291,Female,Asian,Jewish,Very liberal,Republican
synth_0292,Female,Other,Roman Catholic,Moderate,Something else
synth_0293,Female,White,Protestant,Moderate,Independent
synth_0294,Male,White,Agnostic,Very liberal,Something else
synth_0295,Female,Other,Atheist,Very conservative,Something else
synth_0296,Male,Asian,Agnostic,Liberal,Democrat
synth_0297,Male,Hispanic,Roman Catholic,Moderate,Republican
synth_0298,Male,White,Orthodox,Liberal,Something else
synth_0299,Male,Asian,Muslim,Moderate,Something else
synth_0300,Female,Asian,Other,Very liberal,Republican
synth_0301,Female,White,Muslim,Very conservative,Something else
synth_0302,Female,Asian,Nothing in particular,Very liberal,Democrat
synth_0303,Female,White,Agnostic,Conservative,Independent
synth_0304,Female,Hispanic,Mormon,Very liberal,Republican
synth_0305,Female,Other,Buddhist,Moderate,Democrat
synth_0306,Male,Hispanic,Atheist,Moderate,Republican
synth_0307,Female,Asian,Mormon,Conservative,Independent
synth_0308,Female,Black,Orthodox,Conservative,Democrat
synth_0309,Male,Asian,Roman Catholic,Very liberal,Republican
synth_0310,Female,Other,Mormon,Very liberal,Something else
synth_0311,Male,Black,Mormon,Very liberal,Democrat
synth_0312,Female,White,Buddhist,Moderate,Democrat
synth_0313,Female,Other,Jewish,Liberal,Democrat
synth_0314,Male,Asian,Hindu,Conservative,Independent
synth_0315,Female,Hispanic,Jewish,Liberal,Something else
synth_0316,Male,Black,Agnostic,Conservative,Independent
synth_0317,Male,Hispanic,Muslim,Very liberal,Republican
synth_0318,Male,Asian,Roman Catholic,Conservative,Independent
synth_0319,Female,Other,Mormon,Liberal,Republican
synth_0320,Male,Hispanic,Muslim,Very conservative,Something else
synth_0321,Male,Hispanic,Atheist,Moderate,Democrat
synth_0322,Female,White,Muslim,Conservative,Republican
synth_0323,Female,White,Nothing in particular,Moderate,Democrat
synth_0324,Male,White,Jewish,Liberal,Democrat
synth_0325,Female,Hispanic,Agnostic,Very conservative,Republican
synth_0326,Male,Asian,Orthodox,Conservative,Something else
synth_0327,Male,Asian,Orthodox,Moderate,Republican
synth_0328,Male,Black,Buddhist,Very liberal,Something else
synth_0329,Male,White,Hindu,Very liberal,Republican
synth_0330,Male,Black,Jewish,Liberal,Republican
synth_0331,Female,Black,Agnostic,Liberal,Democrat
synth_0332,Male,Other,Muslim,Very conservative,Republican
synth_0333,Female,Hispanic,Protestant,Liberal,Independent
synth_0334,Female,White,Muslim,Very conservative,Independent
synth_0335,Male,White,Agnostic,Moderate,Democrat
synth_0336,Male,Asian,Atheist,Moderate,Democrat
synth_0337,Female,Hispanic,Other,Conservative,Democrat
synth_0338,Male,Hispanic,Protestant,Moderate,Democrat
synth_0339,Male,Black,Protestant,Moderate,Independent
synth_0340,Female,Other,Hindu,Moderate,Republican
synth_0341,Male,Asian,Muslim,Very conservative,Independent
synth_0342,Female,White,Muslim,Liberal,Something else
synth_0343,Female,Hispanic,Muslim,Conservative,Something else
synth_0344,Female,Asian,Atheist,Moderate,Republican
synth_0345,Female,White,Buddhist,Very liberal,Democrat
synth_0346,Female,Asian,Roman Catholic,Very conservative,Independent
synth_0347,Female,Asian,Hindu,Very liberal,Something else
synth_0348,Male,Hispanic,Muslim,Liberal,Republican
synth_0349,Female,Other,Buddhist,Moderate,Republican
synth_0350,Male,Hispanic,Muslim,Very liberal,Democrat
synth_0351,Male,Black,Agnostic,Liberal,Republican
synth_0352,Male,White,Orthodox,Moderate,Independent
synth_0353,Female,Other,Protestant,Very liberal,Democrat
synth_0354,Female,Asian,Muslim,Liberal,Republican
synth_0355,Male,Other,Muslim,Liberal,Independent
synth_0356,Female,Black,Roman Catholic,Very conservative,Democrat
synth_0357,Female,Other,Buddhist,Very liberal,Republican
synth_0358,Female,Asian,Nothing in particular,Liberal,Democrat
synth_0359,Female,Hispanic,Orthodox,Very conservative,Democrat
synth_0360,Male,Hispanic,Mormon,Liberal,Republican
synth_0361,Female,Asian,Nothing in particular,Very conservative,Independent
synth_0362,Female,Black,Nothing in particular,Conservative,Independent
synth_0363,Male,White,Orthodox,Conservative,Democrat
synth_0364,Female,White,Muslim,Very liberal,Independent
synth_0365,Female,Other,Mormon,Very liberal,Republican
synth_0366,Male,Asian,Buddhist,Liberal,Something else
synth_0367,Female,Other,Roman Catholic,Conservative,Independent
synth_0368,Male,Hispanic,Hindu,Very liberal,Independent
synth_0369,Male,Other,Other,Very liberal,Democrat
synth_0370,Male,Hispanic,Atheist,Very conservative,Republican
synth_0371,Male,Asian,Mormon,Conservative,Independent
synth_0372,Male,Asian,Atheist,Moderate,Republican
synth_0373,Female,Black,Other,Very liberal,Independent
synth_0374,Male,Asian,Agnostic,Very liberal,Republican
synth_0375,Male,Other,Agnostic,Conservative,Democrat
synth_0376,Female,Other,Protestant,Very conservative,Republican
synth_0377,Male,Other,Jewish,Conservative,Something else
synth_0378,Male,Hispanic,Other,Very liberal,Independent
synth_0379,Female,Hispanic,Orthodox,Liberal,Independent
synth_0380,Female,White,Nothing in particular,Very conservative,Democrat
synth_0381,Female,Hispanic,Hindu,Liberal,Democrat
synth_0382,Female,Other,Mormon,Moderate,Independent
synth_0383,Female,Hispanic,Mormon,Moderate,Republican
synth_0384,Female,Black,Hindu,Very conservative,Independent
synth_0385,Female,Black,Mormon,Very conservative,Republican
synth_0386,Female,Hispanic,Agnostic,Liberal,Democrat
synth_0387,Male,Asian,Agnostic,Moderate,Democrat
synth_0388,Male,Hispanic,Atheist,Liberal,Something else
synth_0389,Female,Hispanic,Protestant,Very conservative,Something else
synth_0390,Female,Black,Orthodox,Very liberal,Independent
synth_0391,Male,White,Jewish,Liberal,Something else
synth_0392,Female,Other,Protestant,Very conservative,Something else
synth_0393,Male,Asian,Nothing in particular,Moderate,Something else
synth_0394,Female,White,Buddhist,Very conservative,Democrat
synth_0395,Female,Other,Jewish,Very conservative,Something else
synth_0396,Female,Other,Jewish,Very liberal,Republican
synth_0397,Male,White,Buddhist,Moderate,Independent
synth_0398,Female,Black,Orthodox,Very liberal,Something else
synth_0399,Male,White,Protestant,Conservative,Independent
synth_0400,Female,Other,Hindu,Conservative,Democrat
synth_0401,Female,Other,Muslim,Conservative,Something else
synth_0402,Female,Other,Muslim,Very liberal,Something else
synth_0403,Female,Hispanic,Protestant,Moderate,Independent
synth_0404,Male,Hispanic,Agnostic,Moderate,Republican
synth_0405,Female,Asian,Other,Very liberal,Democrat
synth_0406,Male,Other,Hindu,Conservative,Something else
synth_0407,Male,Black,Protestant,Very liberal,Republican
synth_0408,Male,White,Hindu,Moderate,Something else
synth_0409,Male,Hispanic,Nothing in particular,Conservative,Something else
synth_0410,Female,White,Nothing in particular,Conservative,Democrat
synth_0411,Female,Hispanic,Atheist,Liberal,Independent
synth_0412,Male,Hispanic,Atheist,Moderate,Independent
synth_0413,Female,Other,Hindu,Conservative,Democrat
synth_0414,Female,Other,Jewish,Conservative,Independent
synth_0415,Female,Black,Nothing in particular,Liberal,Independent
synth_0416,Female,Asian,Atheist,Moderate,Independent
synth_0417,Male,Other,Other,Very liberal,Something else
synth_0418,Female,Asian,Mormon,Moderate,Republican
synth_0419,Female,White,Muslim,Liberal,Independent
synth_0420,Female,Black,Orthodox,Very liberal,Independent
synth_0421,Female,Black,Roman Catholic,Very liberal,Democrat
synth_0422,Male,White,Other,Very liberal,Democrat
synth_0423,Male,White,Roman Catholic,Liberal,Independent
synth_0424,Female,White,Other,Conservative,Republican
synth_0425,Male,Hispanic,Other,Liberal,Something else
synth_0426,Male,Asian,Muslim,Moderate,Republican
synth_0427,Male,Other,Orthodox,Very liberal,Republican
synth_0428,Male,Hispanic,Mormon,Very conservative,Something else
synth_0429,Female,Black,Nothing in particular,Moderate,Republican
synth_0430,Male,Asian,Agnostic,Very liberal,Republican
synth_0431,Female,Asian,Hindu,Very liberal,Something else
synth_0432,Male,Other,Hindu,Moderate,Democrat
synth_0433,Male,Asian,Mormon,Liberal,Independent
synth_0434,Male,White,Nothing in particular,Moderate,Independent
synth_0435,Male,Black,Agnostic,Liberal,Something else
synth_0436,Female,White,Buddhist,Very conservative,Democrat
synth_0437,Male,Hispanic,Muslim,Conservative,Republican
synth_0438,Female,Hispanic,Orthodox,Liberal,Independent
synth_0439,Female,Asian,Agnostic,Very liberal,Republican
synth_0440,Female,Asian,Nothing in particular,Conservative,Republican
synth_0441,Male,Hispanic,Jewish,Conservative,Something else
synth_0442,Female,White,Other,Moderate,Independent
synth_0443,Male,Black,Mormon,Liberal,Democrat
synth_0444,Female,Other,Muslim,Liberal,Something else
synth_0445,Male,Black,Other,Very liberal,Republican
synth_0446,Female,Other,Nothing in particular,Moderate,Republican
synth_0447,Male,White,Atheist,Very liberal,Democrat
synth_0448,Male,Black,Muslim,Very liberal,Something else
synth_0449,Male,Black,Nothing in particular,Very liberal,Something else
synth_0450,Male,Other,Hindu,Very conservative,Something else
synth_0451,Male,Other,Buddhist,Liberal,Republican
synth_0452,Female,Asian,Nothing in particular,Very conservative,Something else
synth_0453,Female,White,Nothing in particular,Conservative,Republican
synth_0454,Male,Hispanic,Muslim,Very conservative,Republican
synth_0455,Male,Hispanic,Protestant,Moderate,Something else
synth_0456,Male,Black,Other,Liberal,Independent
synth_0457,Female,Hispanic,Buddhist,Liberal,Republican
synth_0458,Male,Asian,Roman Catholic,Conservative,Something else
synth_0459,Male,Black,Protestant,Very conservative,Independent
synth_0460,Female,Other,Buddhist,Very liberal,Something else
synth_0461,Male,Black,Hindu,Moderate,Democrat
synth_0462,Female,Black,Nothing in particular,Very conservative,Republican
synth_0463,Female,Other,Protestant,Conservative,Democrat
synth_0464,Male,White,Agnostic,Very conservative,Something else
synth_0465,Male,Black,Nothing in particular,Very conservative,Something else
synth_0466,Female,Black,Atheist,Conservative,Republican
synth_0467,Male,Other,Jewish,Conservative,Independent
synth_0468,Female,Black,Jewish,Conservative,Democrat
synth_0469,Female,Asian,Jewish,Very conservative,Democrat
synth_0470,Female,Other,Hindu,Very conservative,Independent
synth_0471,Female,Other,Muslim,Liberal,Something else
synth_0472,Male,Asian,Buddhist,Conservative,Something else
synth_0473,Male,Black,Jewish,Conservative,Something else
synth_0474,Male,Other,Buddhist,Liberal,Democrat
synth_0475,Female,Black,Jewish,Conservative,Independent
synth_0476,Male,Hispanic,Muslim,Very conservative,Democrat
synth_0477,Male,Asian,Buddhist,Very liberal,Republican
synth_0478,Male,Black,Agnostic,Very liberal,Democrat
synth_0479,Female,Black,Muslim,Moderate,Republican
synth_0480,Male,Black,Nothing in particular,Very conservative,Something else
synth_0481,Male,Other,Nothing in particular,Conservative,Something else
synth_0482,Male,Other,Muslim,Moderate,Something else
synth_0483,Female,Other,Other,Moderate,Independent
synth_0484,Female,Asian,Atheist,Liberal,Something else
synth_0485,Male,Hispanic,Muslim,Conservative,Independent
synth_0486,Female,Hispanic,Protestant,Very liberal,Democrat
synth_0487,Male,White,Jewish,Very liberal,Something else
synth_0488,Female,Black,Orthodox,Moderate,Democrat
synth_0489,Female,Other,Orthodox,Liberal,Independent
synth_0490,Female,Hispanic,Nothing in particular,Liberal,Something else
synth_0491,Male,Asian,Mormon,Conservative,Something else
synth_0492,Male,Other,Other,Very conservative,Republican
synth_0493,Male,White,Protestant,Liberal,Democrat
synth_0494,Male,White,Nothing in particular,Conservative,Republican
synth_0495,Male,Other,Hindu,Moderate,Republican
synth_0496,Female,Hispanic,Protestant,Very conservative,Something else
synth_0497,Male,White,Atheist,Moderate,Independent
synth_0498,Male,Other,Nothing in particular,Liberal,Democrat
synth_0499,Male,White,Atheist,Conservative,Democrat
synth_0500,Male,Other,Atheist,Moderate,Independent
